# Intensity threshold: 0.006641
# Total duration (s): 64.0384
# Speaking time (s, pauses excluded): 37.3784
# Phoneme count: 507
# Speech rate (phonemes/s, incl. pauses): 7.9171
# Articulation rate (phonemes/s, excl. pauses): 13.5640
type	label	confidence	start	end
phoneme	p	0.6142	28.4482	28.4682
phoneme	t	0.9760	28.4882	28.5082
phoneme	ɔ	0.4787	28.5282	28.5482
phoneme	n	0.9800	28.6082	28.6282
phoneme	ð	0.6709	28.6282	28.6683
phoneme	ə	0.9685	28.6683	28.6883
phoneme	k	0.9893	28.7483	28.7683
phoneme	ɑːɹ	0.6242	28.8083	28.8283
pause	<pause>	0.0000	28.8600	29.7600
phoneme	ɪ	0.9435	29.7686	29.7886
pause	<pause>	0.0000	29.8200	30.0800
phoneme	ɪ	0.9286	30.1087	30.1287
pause	<pause>	0.0000	30.1600	30.4000
phoneme	ɪ	0.9145	30.4288	30.4488
pause	<pause>	0.0000	30.5000	30.9800
phoneme	ə	0.9429	30.9889	31.0089
phoneme	k	0.9862	31.0689	31.0890
phoneme	æ	0.9149	31.1290	31.1490
phoneme	ɾ	0.8545	31.2290	31.2490
phoneme	ɚ	0.7764	31.2690	31.2890
phoneme	p	0.9799	31.3690	31.3890
phoneme	ɪ	0.9035	31.4090	31.4290
phoneme	l	0.9849	31.4691	31.4891
phoneme	ɚ	0.8048	31.5291	31.5491
phoneme	k	0.9892	31.6291	31.6491
phoneme	l	0.7857	31.6691	31.6891
phoneme	aɪ	0.9143	31.7091	31.7291
phoneme	m	0.8763	31.8092	31.8492
phoneme	d	0.9759	31.8692	31.8892
phoneme	s	0.9948	31.9492	31.9692
phoneme	l	0.8483	32.0492	32.0892
phoneme	oʊ	0.7065	32.1092	32.1293
phoneme	l	0.9858	32.2293	32.2493
phoneme	i	0.9245	32.2693	32.3093
phoneme	ʌ	0.8824	32.3893	32.4093
phoneme	p	0.8974	32.4693	32.4894
phoneme	ð	0.9806	32.5294	32.5694
phoneme	ə	0.9743	32.5694	32.5894
phoneme	t	0.9747	32.6494	32.6694
phoneme	ɹ	0.7493	32.6894	32.7294
pause	<pause>	0.0000	32.7400	33.5600
phoneme	ɪ	0.9555	33.5697	33.5897
phoneme	t	0.8392	33.6497	33.6697
phoneme	w	0.8663	33.7097	33.7497
phoneme	ɛ	0.9099	33.7697	33.7897
pause	<pause>	0.0000	33.8200	33.9800
phoneme	oʊ	0.5969	34.1698	34.1898
phoneme	h	0.9556	34.4699	34.4899
phoneme	aɪ	0.8811	34.5499	34.5700
phoneme	aɪ	0.8394	34.8100	34.8300
phoneme	k	0.9885	34.9301	34.9501
pause	<pause>	0.0000	34.9800	35.1600
phoneme	iː	0.9316	35.1701	35.1901
phoneme	ð	0.9932	35.2702	35.2902
phoneme	ə	0.9366	35.2902	35.3102
phoneme	p	0.9809	35.3702	35.3902
phoneme	ɑːɹ	0.6296	35.4302	35.4502
pause	<pause>	0.0000	35.5000	36.6200
phoneme	b	0.8879	36.6105	36.6305
phoneme	ɔːɹ	0.1757	36.6706	36.6906
phoneme	w	0.8259	36.8506	36.8906
phoneme	ʌ	0.9366	36.8906	36.9106
phoneme	z	0.9698	36.9706	36.9907
phoneme	aɪ	0.8824	37.0507	37.0707
pause	<pause>	0.0000	37.1400	37.3200
phoneme	k	0.9361	37.3107	37.3307
phoneme	eɪ	0.2763	37.3508	37.3708
pause	<pause>	0.0000	37.5200	38.1200
phoneme	aɪ	0.8610	38.1310	38.1510
phoneme	θ	0.7715	38.2310	38.2510
phoneme	ɑː	0.4748	38.2910	38.3110
phoneme	t	0.9567	38.4511	38.4711
phoneme	ə	0.9534	38.4911	38.5111
phoneme	m	0.9986	38.5511	38.5711
phoneme	aɪ	0.7133	38.5911	38.6111
phoneme	s	0.9860	38.6911	38.7111
phoneme	ɛ	0.4805	38.7712	38.7912
pause	<pause>	0.0000	38.8600	39.2000
phoneme	ɛ	0.4931	39.2113	39.2313
phoneme	z	0.9432	39.3113	39.3313
phoneme	n	0.9555	39.3713	39.4113
phoneme	oʊ	0.4488	39.4314	39.4514
phoneme	t	0.9824	39.5714	39.5914
phoneme	ɜː	0.5487	39.6514	39.6714
phoneme	n	0.9741	39.7314	39.7715
phoneme	ɪ	0.9202	39.7715	39.7915
phoneme	ŋ	0.9754	39.8315	39.8515
phoneme	b	0.9741	39.9115	39.9315
phoneme	æ	0.8911	39.9715	39.9915
phoneme	k	0.9796	40.1115	40.1316
phoneme	n	0.9862	40.1716	40.2116
phoneme	aʊ	0.6244	40.2316	40.2516
pause	<pause>	0.0000	40.2600	41.1200
phoneme	p	0.9725	41.1118	41.1318
phoneme	iː	0.8682	41.1518	41.1719
phoneme	p	0.9663	41.2319	41.2519
phoneme	əl	0.7476	41.2719	41.2919
phoneme	w	0.9840	41.3719	41.3919
phoneme	ɜː	0.4682	41.4119	41.4319
phoneme	s	0.9898	41.5120	41.5320
phoneme	oʊ	0.6250	41.6120	41.6320
pause	<pause>	0.0000	41.7200	41.8800
phoneme	ɛɹ	0.2261	41.9121	41.9321
phoneme	d	0.8750	42.0521	42.0921
phoneme	ð	0.9474	42.0921	42.1121
phoneme	eɪ	0.8580	42.1321	42.1521
phoneme	s	0.9911	42.2522	42.2722
phoneme	k	0.9417	42.3722	42.3922
phoneme	ɹ	0.7934	42.3922	42.4522
phoneme	iː	0.9015	42.4522	42.4722
phoneme	m	0.9933	42.6123	42.6523
phoneme	d	0.9839	42.6723	42.6923
phoneme	æ	0.9071	42.7723	42.7923
phoneme	z	0.9778	42.8723	42.8923
phoneme	w	0.9742	42.9324	42.9524
phoneme	iː	0.4787	42.9524	42.9724
pause	<pause>	0.0000	43.0000	43.1600
phoneme	w	0.7123	43.1924	43.2124
phoneme	ɪ	0.9636	43.2324	43.2525
pause	<pause>	0.0000	43.3000	43.4600
phoneme	l	0.9787	43.4725	43.4925
phoneme	i	0.9793	43.5125	43.5325
phoneme	z	0.9719	43.6326	43.6526
phoneme	uː	0.9153	43.7126	43.7326
pause	<pause>	0.0000	43.8800	44.1400
phoneme	f	0.9877	44.1327	44.1527
phoneme	æ	0.9242	44.1927	44.2127
pause	<pause>	0.0000	44.3400	44.5200
phoneme	æ	0.9327	44.5528	44.5728
pause	<pause>	0.0000	44.6800	44.8800
phoneme	æ	0.9402	44.8729	44.8929
phoneme	n	0.9956	44.9129	44.9329
phoneme	d	0.6936	44.9329	44.9729
phoneme	f	0.9886	45.0130	45.0330
phoneme	æ	0.9146	45.0730	45.0930
phoneme	s	0.9938	45.2330	45.2530
phoneme	t	0.9877	45.3130	45.3331
pause	<pause>	0.0000	45.3600	45.5800
phoneme	l	0.9835	45.5731	45.5931
phoneme	ɑː	0.3977	45.6331	45.6531
phoneme	ŋ	0.9173	45.7332	45.7732
phoneme	ð	0.9875	45.7932	45.8132
pause	<pause>	0.0000	45.8200	46.9200
phoneme	æ	0.8828	46.9335	46.9535
phoneme	z	0.9518	47.0135	47.0335
phoneme	k	0.9913	47.0936	47.1136
phoneme	w	0.9128	47.1336	47.1536
phoneme	ɪ	0.6617	47.1536	47.1736
phoneme	k	0.9763	47.2536	47.2736
phoneme	l	0.8664	47.2936	47.3336
phoneme	i	0.9562	47.3336	47.3536
phoneme	æ	0.7839	47.4537	47.4737
phoneme	z	0.8429	47.5137	47.5537
phoneme	ɪ	0.8264	47.5937	47.6137
pause	<pause>	0.0000	47.6200	47.8000
phoneme	t	0.9884	47.7938	47.8138
phoneme	ɑːɹ	0.6899	47.8338	47.8538
phoneme	ɾ	0.8448	47.9738	47.9938
phoneme	ᵻ	0.7906	48.0138	48.0338
pause	<pause>	0.0000	48.0600	48.2200
phoneme	ð	0.9918	48.2139	48.2339
phoneme	ə	0.9690	48.2339	48.2539
phoneme	k	0.9879	48.3339	48.3539
phoneme	æ	0.8796	48.4139	48.4339
phoneme	ɾ	0.8242	48.4940	48.5140
phoneme	ɚ	0.7936	48.5340	48.5540
phoneme	p	0.9782	48.6340	48.6540
phoneme	ɪ	0.8709	48.6740	48.6940
phoneme	l	0.9772	48.7340	48.7540
phoneme	ɚ	0.7908	48.7740	48.7940
phoneme	k	0.9894	48.8941	48.9141
phoneme	eɪ	0.9515	48.9741	48.9941
phoneme	m	0.9924	49.0741	49.0941
pause	<pause>	0.0000	49.1000	49.4200
phoneme	t	0.9952	49.4142	49.4342
pause	<pause>	0.0000	49.4600	50.3000
phoneme	ʌ	0.8131	50.3345	50.3545
phoneme	n	0.9918	50.3945	50.4145
phoneme	f	0.9906	50.4945	50.5145
phoneme	ɔːɹ	0.3144	50.5546	50.5746
phoneme	tʃ	0.6845	50.6946	50.7346
phoneme	ə	0.9325	50.7746	50.7946
phoneme	n	0.9886	50.8346	50.8546
phoneme	ə	0.9041	50.8746	50.8947
phoneme	t	0.7037	50.9347	50.9747
phoneme	l	0.9016	50.9747	50.9947
phoneme	i	0.7527	51.0147	51.0547
phoneme	ɪ	0.9402	51.2348	51.2548
phoneme	t	0.3778	51.2748	51.2948
phoneme	w	0.9802	51.3148	51.3348
phoneme	ʌ	0.8733	51.3348	51.3748
pause	<pause>	0.0000	51.3600	51.5400
phoneme	aɪ	0.9049	51.5748	51.5949
phoneme	m	0.9904	51.6949	51.7149
phoneme	t	0.8692	51.7549	51.7749
phoneme	ə	0.9610	51.7949	51.8149
phoneme	p	0.9745	51.8949	51.9149
phoneme	æ	0.8851	51.9750	51.9950
phoneme	k	0.9761	52.0950	52.1150
phoneme	ð	0.9784	52.1550	52.1750
phoneme	ə	0.9657	52.1950	52.2150
phoneme	k	0.9883	52.2751	52.2951
phoneme	ɑːɹ	0.6135	52.3551	52.3751
phoneme	ɹ	0.7911	52.5151	52.5351
phoneme	æ	0.8671	52.5751	52.5951
phoneme	n	0.7699	52.6151	52.6552
phoneme	d	0.7997	52.6552	52.6952
phoneme	ɹ	0.9291	52.7152	52.7552
phoneme	aɪ	0.9233	52.7752	52.7952
pause	<pause>	0.0000	52.8400	53.7600
phoneme	ð	0.9848	53.7555	53.7755
phoneme	æ	0.9243	53.8155	53.8355
phoneme	t	0.8513	53.9155	53.9555
phoneme	n	0.8225	53.9755	54.0156
phoneme	aɪ	0.9483	54.0356	54.0556
phoneme	t	0.9061	54.1756	54.1956
phoneme	aɪ	0.8185	54.2756	54.2956
phoneme	d	0.9233	54.3957	54.4157
phoneme	ɹ	0.9638	54.4357	54.4757
phoneme	ɛ	0.7704	54.4757	54.4957
phoneme	m	0.8919	54.5557	54.5957
phoneme	p	0.9685	54.6157	54.6357
phoneme	t	0.9572	54.6557	54.6757
phoneme	ʌ	0.9674	54.7158	54.7358
phoneme	v	0.9261	54.7758	54.8158
phoneme	ð	0.9942	54.8358	54.8558
phoneme	ə	0.9663	54.8558	54.8758
phoneme	w	0.9307	54.9558	54.9958
phoneme	aɪ	0.8803	55.0358	55.0559
phoneme	l	0.8229	55.1759	55.2359
phoneme	d	0.7773	55.2359	55.2759
phoneme	ɹ	0.9892	55.3159	55.3359
phoneme	aɪ	0.9275	55.3759	55.3959
phoneme	d	0.9704	55.5160	55.5360
phoneme	ɔ	0.3965	55.5560	55.5760
phoneme	n	0.9317	55.6160	55.6560
pause	<pause>	0.0000	55.6600	57.1200
phoneme	eɪ	0.9375	57.1565	57.1765
phoneme	k	0.7842	57.2365	57.2765
phoneme	ɪ	0.9244	57.2965	57.3165
phoneme	ŋ	0.8089	57.3365	57.3765
phoneme	ɐ	0.9102	57.3965	57.4165
phoneme	t	0.7358	57.4765	57.5166
phoneme	ɹ	0.9113	57.5366	57.5766
phoneme	ɪ	0.9374	57.5766	57.5966
phoneme	p	0.9365	57.6566	57.6966
phoneme	t	0.9872	57.7166	57.7366
phoneme	ə	0.9461	57.7566	57.7766
phoneme	ð	0.9884	57.8367	57.8567
phoneme	ɪ	0.6790	57.8567	57.8767
phoneme	ɐ	0.7569	57.9367	57.9567
phoneme	m	0.9906	58.0367	58.0567
phoneme	j	0.8120	58.0567	58.0967
phoneme	uː	0.9129	58.0967	58.1167
phoneme	z	0.9831	58.1968	58.2168
phoneme	m	0.9409	58.2568	58.2968
phoneme	ə	0.9643	58.2968	58.3168
phoneme	n	0.7769	58.3368	58.3768
phoneme	t	0.8821	58.3768	58.3968
phoneme	p	0.9877	58.4168	58.4368
phoneme	ɑːɹ	0.5811	58.4768	58.4968
pause	<pause>	0.0000	58.6200	58.8400
phoneme	æ	0.9432	58.8369	58.8569
phoneme	n	0.7892	58.8770	58.9170
phoneme	d	0.9715	58.9170	58.9370
phoneme	ɹ	0.7871	58.9570	58.9970
phoneme	aɪ	0.8822	59.0170	59.0370
phoneme	d	0.8219	59.1370	59.1570
phoneme	ɪ	0.9309	59.1770	59.1970
phoneme	ŋ	0.9768	59.2170	59.2371
phoneme	ɔ	0.3605	59.2571	59.2771
phoneme	n	0.8978	59.3171	59.3571
phoneme	ð	0.9306	59.3571	59.3771
phoneme	ə	0.8949	59.3771	59.3971
phoneme	k	0.9880	59.4571	59.4771
phoneme	æ	0.8869	59.5371	59.5571
phoneme	ɾ	0.7937	59.6372	59.6572
phoneme	ɚ	0.8147	59.6572	59.6772
phoneme	p	0.9737	59.7572	59.7772
phoneme	ɪ	0.8117	59.7972	59.8172
phoneme	l	0.9859	59.8772	59.8972
phoneme	ɚ	0.8059	59.9373	59.9573
pause	<pause>	0.0000	60.0400	60.4800
phoneme	w	0.9931	60.4774	60.4974
phoneme	ʌ	0.9362	60.4974	60.5174
phoneme	z	0.9837	60.5774	60.5974
phoneme	m	0.9983	60.6375	60.6575
phoneme	aɪ	0.9129	60.6775	60.6975
phoneme	m	0.9146	60.8575	60.8975
phoneme	oʊ	0.7208	60.9175	60.9375
pause	<pause>	0.0000	61.0400	61.2400
phoneme	m	0.9395	61.2776	61.3177
phoneme	ɛ	0.9162	61.3377	61.3577
phoneme	m	0.9974	61.4377	61.4577
phoneme	ɚ	0.7355	61.4777	61.4977
phoneme	ɹ	0.9756	61.5177	61.5377
phoneme	ə	0.5307	61.5577	61.5777
phoneme	b	0.9846	61.6377	61.6578
phoneme	əl	0.7549	61.6778	61.6978
phoneme	m	0.9679	61.8778	61.9178
phoneme	oʊ	0.2399	61.9378	61.9578
phoneme	l	0.9373	62.0179	62.0379
phoneme	m	0.9902	62.0779	62.1179
phoneme	ə	0.9362	62.1179	62.1379
pause	<pause>	0.0000	62.1600	62.3400
phoneme	ɛ	0.8398	62.3780	62.3980
pause	<pause>	0.0000	62.4200	64.0200
